x,y,z,_,_,_,u,v,w,p,q,r
0.5223159472618782,0.2716123261688515,0.4990734393198582,0.9971488916722742,-0.055479376970699254,0.05112877337760139,-0.001405382723768559,0.19656678113739798,0.19505143653722154,-0.012345558746368734,0.057747049551892166,-0.129710782615108,0.005974640948064312
0.5243316438492167,0.27361710515660853,0.4989460082807893,0.9972082204582366,-0.05507727648313717,0.050402643244241326,-0.0013535951058756518,0.2065487686746608,0.2058914336494964,-0.013136772046304932,0.10329956602508483,-0.16205078576626444,0.006817528312299911
0.526446407270965,0.2757298356097553,0.49881090438020353,0.9972865202007314,-0.05445441923429031,0.049523943341755604,-0.0013007258184670255,0.21637516797041723,0.21663454081775915,-0.013878888239900355,0.1462820232180949,-0.19085517151084674,0.007505771305490573
0.528658537215503,0.2779493363916031,0.4986686496852848,0.997381437477883,-0.05362374538211712,0.04850984760343962,-0.0012477144051244234,0.22601765027854903,0.22723872110021726,-0.014565841298864811,0.18663031733913135,-0.21628638080509938,0.008050366564195359
0.530966066438628,0.2802740182933817,0.49851982150485125,0.9974905638194156,-0.052598443562386465,0.04737668074155602,-0.0011953861098501297,0.23545113016680902,0.23766440571445158,-0.015192652693351462,0.22430692757179227,-0.23852287313950474,0.008462727307487322
0.5333667923695264,0.2827019089652656,0.49836504155454314,0.9976114893454605,-0.05139183112640056,0.04613985530879064,-0.0011444524855542281,0.24465359819594676,0.24787454034781606,-0.01575541986446052,0.25929695315989293,-0.25775335997609494,0.008754437659445518
0.5358583069935933,0.2852306782078768,0.4982049653293275,0.9977418476553788,-0.050017252482947715,0.044813834245596686,-0.0010955142611844913,0.2536059444021009,0.2578346114529909,-0.01625128684867677,0.2916046616773956,-0.27417211375782796,0.008937055594291924
0.5384380249420122,0.28785766343814245,0.4980402718461467,0.9978793526050097,-0.04848799286593444,0.04341211412657876,-0.001049066013527334,0.2622917768050882,0.26751265525085804,-0.016678400144921116,0.3212505853352756,-0.2879751324570894,0.0090219472256395
0.5411032097609616,0.29057989517372146,0.49787165394661076,0.9980218277029093,-0.04681720515266435,0.04194722512281182,-0.0010055022297663192,0.27069723933144635,0.27687925279136566,-0.017035841312265154,0.3482690174283526,-0.29935706617869534,0.009020163180051118
0.5438509983558482,0.2933941223920615,0.49769980923772855,0.9981672289050534,-0.04501784779155811,0.04043074393550456,-0.0009651243674468813,0.27881082929896295,0.28590751012733495,-0.0173235671916598,0.372705891278344,-0.30850890881587567,0.008942336768450234
0.5466784236308563,0.29629683763890863,0.4975254317367452,0.9983136615752508,-0.04310263199785196,0.03887331690516554,-0.0009281486217022038,0.28662321929621165,0.29457302827280557,-0.017542329239218266,0.39461702563235723,-0.3156160730711965,0.008798603817612806
0.549582435365893,0.2992843017793414,0.4973492042987672,0.9984593923139512,-0.04108397737318666,0.03728469109355655,-0.0008947140955398135,0.2941270830276712,0.30285386198550357,-0.017693597969902383,0.414066356268909,-0.3208569941259214,0.008598549890794765
